student_id,branch,gender,attendance_pct,cgpa,backlogs,internships,projects_completed,certifications,coding_score,communication_score,extracurricular_score,aptitude_score,performance_score,placed,package_lpa
STU0001,CSE,Female,92.5,7.36,0,3,1,0,65.5,65.0,43.8,72.9,80.78,0,0.0
STU0002,CIVIL,Female,77.5,7.6,1,0,1,3,75.4,69.5,77.1,70.3,74.01,0,0.0
STU0003,MECH,Female,83.6,7.66,0,1,2,3,81.2,54.4,42.4,87.3,87.13,1,10.87
STU0004,ECE,Male,55.9,5.75,0,0,1,0,60.3,69.8,58.3,85.0,72.5,0,0.0
STU0005,ECE,Female,68.4,8.14,0,0,1,2,49.3,57.0,29.1,84.2,75.27,1,9.01
STU0006,EEE,Female,77.1,6.32,1,1,4,1,66.1,65.3,34.3,74.4,68.84,1,8.89
STU0007,CSE,Male,69.3,7.9,0,0,1,0,72.1,81.1,56.0,63.1,76.65,1,10.05
STU0008,CIVIL,Female,87.1,7.19,1,0,0,2,43.1,73.1,62.4,78.7,66.05,0,0.0
STU0009,IT,Female,100.0,5.69,0,2,0,2,51.6,52.2,21.0,79.4,70.76,0,0.0
STU0010,CSE,Female,68.2,6.85,0,0,2,4,54.2,80.2,64.9,65.3,72.25,0,0.0
STU0011,MECH,Female,71.6,7.6,0,1,3,0,61.9,69.9,38.6,63.1,79.95,1,11.05
STU0012,EEE,Male,82.4,7.87,0,1,1,0,53.6,63.5,80.6,83.9,72.49,1,9.23
STU0013,CIVIL,Female,96.1,7.04,0,1,1,2,75.6,79.0,48.0,91.3,74.1,1,9.64
STU0014,CIVIL,Male,67.8,8.88,2,1,1,0,40.9,68.0,32.5,57.5,69.22,0,0.0
STU0015,CIVIL,Female,82.5,8.31,1,3,1,1,41.3,56.0,56.5,64.3,68.09,0,0.0
STU0016,CIVIL,Female,98.2,6.92,1,0,1,0,60.0,92.2,36.7,72.9,76.91,0,0.0
STU0017,MECH,Male,63.5,8.03,1,2,2,4,62.4,69.8,80.4,74.8,73.33,1,10.92
STU0018,CSE,Male,67.2,9.33,1,1,1,2,43.2,69.0,55.0,60.7,75.16,1,9.69
STU0019,EEE,Male,75.8,9.36,1,2,2,3,55.9,65.1,52.0,94.4,90.71,1,10.88
STU0020,ECE,Male,74.8,5.85,1,1,5,4,59.0,84.2,66.8,73.9,70.51,1,8.88
STU0021,MECH,Male,88.1,6.18,3,1,3,4,59.1,63.7,34.9,75.4,60.33,0,0.0
STU0022,ECE,Male,82.4,8.83,0,1,2,0,67.3,51.5,29.2,92.6,96.45,1,10.77
STU0023,IT,Male,62.3,6.04,0,1,1,0,55.1,61.9,63.2,61.7,57.81,1,8.87
STU0024,EEE,Male,85.2,5.75,0,0,3,3,87.2,85.9,33.0,66.8,75.25,0,0.0
STU0025,CIVIL,Female,74.2,6.67,3,1,1,2,72.3,80.0,33.0,50.5,59.91,0,0.0
STU0026,MECH,Male,92.7,7.66,2,0,2,0,52.9,66.9,71.7,65.6,73.8,0,0.0
STU0027,ECE,Male,73.7,7.09,0,1,1,1,66.4,86.5,65.5,47.2,73.12,1,10.47
STU0028,CIVIL,Male,73.6,6.48,0,1,4,1,66.9,79.0,29.9,78.5,72.9,0,0.0
STU0029,MECH,Female,85.4,6.46,1,1,3,0,83.2,66.8,42.6,73.9,72.04,1,10.26
STU0030,ECE,Male,87.6,6.42,0,3,5,0,56.0,68.0,36.9,64.1,74.56,0,0.0
STU0031,ECE,Female,84.5,6.23,4,1,1,4,76.5,74.0,90.5,66.6,63.79,0,0.0
STU0032,IT,Male,63.1,9.71,0,1,4,1,65.6,60.0,73.1,78.7,89.16,1,10.87
